player_id,team_id,match_position,first,last,known,shirt_number,status,captain,mins_played,successful_final_third_passes
181284,191,Midfielder,Gonçalo Manuel,Ganchinho Guedes,Gonçalo Guedes,7,Start,0,86,7
201895,191,Defender,Omar,Alderete,,15,Start,0,90,5
436234,191,Midfielder,Bryan,Gil,,21,Start,0,72,5
437460,191,Midfielder,Hugo,Guillamón,,6,Start,0,90,5
244847,191,Midfielder,Yunus,Musah,,4,Start,0,72,4
224860,191,Midfielder,Carlos,Soler,,10,Start,1,90,4
449027,191,Goalkeeper,Giorgi,Mamardashvili,,28,Start,0,90,3
215206,191,Striker,Maximiliano,Gómez,,9,Start,0,86,3
466044,191,Defender,Jesús,Vázquez,,32,Start,0,90,3
465689,191,Substitute,Moriba,Kourouma Kourouma,Ilaix Moriba,23,Sub,0,42,2
228611,191,Substitute,Uros,Racic,,8,Sub,0,18,2
208135,191,Defender,Mouctar,Diakhaby,,12,Start,0,48,1
96767,191,Defender,Dimitri,Foulquier,,20,Start,0,90,1
88489,191,Substitute,Denis,Cheryshev,,17,Sub,0,18,1
220327,191,Substitute,Eray,Cömert,,24,Sub,0,0,0
494922,191,Substitute,Rubén,Iranzo,,39,Sub,0,0,0
500040,191,Substitute,Cristhian,Mosquera,,37,Sub,0,0,0
439716,191,Substitute,Hugo,Duro,,19,Sub,0,4,0
165808,191,Substitute,Hélder Wander,Sousa de Azevedo e Costa,Hélder Costa,11,Sub,0,4,0
116732,191,Substitute,Jaume,Doménech,,1,Sub,0,0,0
