player_id,team_id,match_position,first,last,known,shirt_number,status,captain,mins_played,successful_final_third_passes
224860,191,Midfielder,Carlos,Soler,,10,Start,0,90,9
56624,191,Midfielder,Daniel,Wass,,18,Start,0,90,5
228611,191,Substitute,Uros,Racic,,8,Sub,0,38,4
132105,191,Defender,José,Gayà,,14,Start,1,90,4
165808,191,Midfielder,Hélder Wander,Sousa de Azevedo e Costa,Hélder Costa,11,Start,0,84,4
421294,191,Substitute,Marcos André,de Sousa Mendonça,Marcos André,22,Sub,0,7,3
221306,191,Substitute,Antonio,Latorre,Toni Lato,3,Sub,0,17,3
439716,191,Midfielder,Hugo,Duro,,19,Start,0,84,3
215206,191,Striker,Maximiliano,Gómez,,9,Start,0,83,2
72162,191,Goalkeeper,Jasper,Cillessen,,13,Start,0,90,2
437460,191,Defender,Hugo,Guillamón,,6,Start,0,90,2
92055,191,Defender,Cristiano,Piccini,,24,Start,0,73,2
485339,191,Midfielder,Koba,Koindredi,,27,Start,0,52,1
201895,191,Defender,Omar,Alderete,,15,Start,0,90,1
181284,191,Substitute,Gonçalo Manuel,Ganchinho Guedes,Gonçalo Guedes,7,Sub,0,6,1
244847,191,Substitute,Yunus,Musah,,4,Sub,0,6,1
116732,191,Substitute,Jaume,Doménech,,1,Sub,0,0,0
494922,191,Substitute,Rubén,Iranzo,,39,Sub,0,0,0
163784,191,Substitute,David,Remeseiro Salgueiro,Jason,23,Sub,0,0,0
449027,191,Substitute,Giorgi,Mamardashvili,,28,Sub,0,0,0
492898,191,Substitute,César,Tárrega,,38,Sub,0,0,0
221511,191,Substitute,Manuel Javier,Vallejo Galván,Manu Vallejo,21,Sub,0,0,0
88489,191,Substitute,Denis,Cheryshev,,17,Sub,0,0,0
